         9752559 function calls (9703528 primitive calls) in 40.129 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       23    0.002    0.000    0.003    0.000 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\femtools\checksanalysis.py:40(check_member_for_solver_calculix)
    15320    0.002    0.000    0.002    0.000 {method 'pop' of 'dict' objects}
       23    0.002    0.000   16.428    0.714 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\femtools\ccxtools.py:586(ccx_run)
      627    0.002    0.000    0.004    0.000 c:\Virtual_Environments\theeng\lib\site-packages\sklearn\utils\validation.py:1385(<listcomp>)
       69    0.002    0.000   16.323    0.237 C:\Python38\lib\subprocess.py:1374(_communicate)
     1818    0.002    0.000    0.019    0.000 <frozen importlib._bootstrap>:147(__enter__)
    17205    0.002    0.000    0.002    0.000 C:\Python38\lib\copy.py:182(_deepcopy_atomic)
  775/700    0.002    0.000    0.131    0.000 {built-in method builtins.exec}
      966    0.002    0.000    0.004    0.000 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\femtools\femutils.py:73(type_of_obj)
     2325    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
   238/10    0.002    0.000    0.701    0.070 c:\Virtual_Environments\theeng\lib\site-packages\plotly\basedatatypes.py:5228(_set_compound_prop)
        3    0.002    0.001    0.298    0.099 c:\Virtual_Environments\theeng\lib\site-packages\plotly\basedatatypes.py:3584(write_html)
     2571    0.002    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
      645    0.002    0.000    0.002    0.000 c:\Virtual_Environments\theeng\lib\site-packages\sklearn\utils\validation.py:267(_num_features)
     9449    0.002    0.000    0.002    0.000 {built-in method sys._getframe}
     1309    0.002    0.000    0.115    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
     5413    0.002    0.000    0.004    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\dtypes\generic.py:45(_instancecheck)
       29    0.002    0.000    0.007    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pymoo\algorithms\moo\nsga3.py:23(comp_by_cv_then_random)
      461    0.002    0.000    0.003    0.000 c:\Virtual_Environments\theeng\lib\site-packages\_plotly_utils\utils.py:311(split_string_positions)
     7080    0.002    0.000    0.002    0.000 {method 'write' of '_io.BufferedWriter' objects}
       23    0.002    0.000    0.002    0.000 {method 'emit' of 'PySide2.QtCore.SignalInstance' objects}
     1029    0.002    0.000    0.012    0.000 c:\Virtual_Environments\theeng\lib\site-packages\_plotly_utils\basevalidators.py:18(fullmatch)
      684    0.002    0.000    0.003    0.000 c:\Virtual_Environments\theeng\lib\site-packages\sklearn\utils\_array_api.py:168(_asarray_with_order)
       46    0.002    0.000    0.002    0.000 {built-in method nt.putenv}
      781    0.002    0.000    0.997    0.001 <frozen importlib._bootstrap>:549(module_from_spec)
     2720    0.002    0.000    0.003    0.000 {built-in method builtins.any}
      160    0.002    0.000    0.002    0.000 c:\Virtual_Environments\theeng\lib\site-packages\numpy\lib\arraysetops.py:323(_unique1d)
     4650    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      775    0.002    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
      900    0.002    0.000    0.010    0.000 c:\Virtual_Environments\theeng\lib\site-packages\numpy\core\fromnumeric.py:2188(sum)
     5413    0.002    0.000    0.002    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\dtypes\generic.py:40(_check)
   241/13    0.002    0.000    0.678    0.052 c:\Virtual_Environments\theeng\lib\site-packages\_plotly_utils\basevalidators.py:2471(validate_coerce)
      138    0.002    0.000    0.005    0.000 C:\Python38\lib\threading.py:761(__init__)
     2447    0.002    0.000    0.004    0.000 c:\Virtual_Environments\theeng\lib\site-packages\sklearn\_config.py:30(get_config)
      268    0.002    0.000    0.002    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\internals\managers.py:1129(iget)
     2658    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
      161    0.002    0.000    0.009    0.000 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\femtools\femutils.py:340(get_refshape_type)
       14    0.002    0.000    0.004    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pymoo\algorithms\moo\nsga3.py:194(niching)
     2460    0.002    0.000    0.008    0.000 c:\Virtual_Environments\theeng\lib\site-packages\autograd\tracer.py:35(f_wrapped)
      781    0.002    0.000    0.014    0.000 c:\Virtual_Environments\theeng\lib\site-packages\_plotly_utils\basevalidators.py:1407(perform_validate_coerce)
      457    0.002    0.000    0.006    0.000 c:\Virtual_Environments\theeng\lib\site-packages\plotly\basedatatypes.py:4253(__init__)
      115    0.002    0.000    0.006    0.000 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\femtools\geomtools.py:175(get_element)
       69    0.002    0.000    0.002    0.000 {method 'close' of '_io.TextIOWrapper' objects}
      627    0.002    0.000    0.006    0.000 c:\Virtual_Environments\theeng\lib\site-packages\sklearn\utils\validation.py:1322(check_is_fitted)
      781    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
      205    0.002    0.000    0.026    0.000 c:\Virtual_Environments\theeng\lib\site-packages\sklearn\linear_model\_base.py:334(_decision_function)
       46    0.002    0.000    0.572    0.012 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\femtools\ccxtools.py:410(setup_ccx)
      760    0.002    0.000    0.003    0.000 C:\Python38\lib\warnings.py:181(_add_filter)
       23    0.002    0.000    0.002    0.000 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\femsolver\calculix\write_femelement_material.py:32(write_femelement_material)
       58    0.002    0.000    0.002    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pymoo\operators\crossover\sbx.py:41(calc_betaq)
     1811    0.001    0.000    0.007    0.000 C:\Python38\lib\re.py:289(_compile)
       69    0.001    0.000    0.248    0.004 C:\Python38\lib\subprocess.py:1228(_execute_child)
      741    0.001    0.000    0.002    0.000 C:\Python38\lib\warnings.py:458(__enter__)
     2460    0.001    0.000    0.003    0.000 c:\Virtual_Environments\theeng\lib\site-packages\autograd\tracer.py:58(f_wrapped)
      224    0.001    0.000    0.015    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\algorithms.py:530(factorize_array)
      339    0.001    0.000    0.002    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\generic.py:5844(__finalize__)
       23    0.001    0.000   16.138    0.702 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\femtools\ccxtools.py:525(start_ccx)
     1258    0.001    0.000    0.002    0.000 c:\Virtual_Environments\theeng\lib\site-packages\plotly\basedatatypes.py:724(__getitem__)
      200    0.001    0.000    0.090    0.000 c:\Virtual_Environments\theeng\lib\site-packages\theeng\core\surrogate.py:54(_predict)
      951    0.001    0.000    0.001    0.000 {built-in method nt._path_splitroot}
     1169    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:872(_resolve_name)
        1    0.001    0.001    0.344    0.344 c:\Virtual_Environments\theeng\lib\site-packages\pymoo\util\reference_direction.py:225(select_points_with_maximum_distance)
