,x1,x2,f1,f2,11.1111*x1^2 - 11.1111*x1 + 1,-4.16667*x1^2 + 4.16667*x1 - 1,Score,Efficiency
636,0.12978168149217761,-0.0018955720604016957,1.6846878044373212,0.7572835150600179,-0.2548698189204883,-0.5294229708668422,0.0678667606615435,False
522,0.12978168149217761,-0.0018955720604016957,1.6846878044373212,0.7572835150600179,-0.2548698189204883,-0.5294229708668422,0.0678667606615435,False
482,0.12978168149217761,-0.0018955720604016957,1.6846878044373212,0.7572835150600179,-0.2548698189204883,-0.5294229708668422,0.0678667606615435,False
581,0.12978168149217761,-0.0018955720604016957,1.6846878044373212,0.7572835150600179,-0.2548698189204883,-0.5294229708668422,0.0678667606615435,False
601,0.12652453969898825,-0.001825631560906732,1.601179207663703,0.7629627126786606,-0.22795522263185397,-0.5395159626424507,0.06829614298356064,False
721,0.12652453969898825,-0.001825631560906732,1.601179207663703,0.7629627126786606,-0.22795522263185397,-0.5395159626424507,0.06829614298356064,False
907,0.12652453969898825,-0.001825631560906732,1.601179207663703,0.7629627126786606,-0.22795522263185397,-0.5395159626424507,0.06829614298356064,False
681,0.12652453969898825,-0.001825631560906732,1.601179207663703,0.7629627126786606,-0.22795522263185397,-0.5395159626424507,0.06829614298356064,False
937,0.12652453969898825,-0.001825631560906732,1.601179207663703,0.7629627126786606,-0.22795522263185397,-0.5395159626424507,0.06829614298356064,False
800,0.12652453969898825,-0.001825631560906732,1.601179207663703,0.7629627126786606,-0.22795522263185397,-0.5395159626424507,0.06829614298356064,False
869,0.12652453969898825,-0.001825631560906732,1.601179207663703,0.7629627126786606,-0.22795522263185397,-0.5395159626424507,0.06829614298356064,False
640,0.12652453969898825,-0.001825631560906732,1.601179207663703,0.7629627126786606,-0.22795522263185397,-0.5395159626424507,0.06829614298356064,False
760,0.12652453969898825,-0.001825631560906732,1.601179207663703,0.7629627126786606,-0.22795522263185397,-0.5395159626424507,0.06829614298356064,False
990,0.12652453969898825,-0.001825631560906732,1.601179207663703,0.7629627126786606,-0.22795522263185397,-0.5395159626424507,0.06829614298356064,False
